	Column1	query	text_id	hit_id	left	hit	right	LABEL	AGENCY	DOMAIN	REAL_AGENCY	BENEFICIARY	letter_id	period	year_of_writing	authenticity	relation	author_name	author_gender	author_relation_to_recipient	author_year_of_birth	author_age	recip_name	recip_gender	recip_relation_to_addressee	recip_year_of_birth	recip_age	CORRESPONDENCE	DECADE	Kolom1	query_standardised
310	321	god	BACON_035	BACON_035.121_121	understande allmost every weake by Mr Stringar of your Ladyship 's good health & my father 's , which I am very glad to heare of . I myself am somwhat sickly . Some perswade me that it is to a good end . My owne experience ( as your Ladyship knoweth ) is small to judg . Suer I am ther is yet no certeintie of that thei saie . Yet I hope well , & I praie to	God	I be not deceived of my hope . Thus with humble remembrance of my dutie to my father I take my leave , wisshinge your Ladyship longe to live in perfect health . 	BODY	PRAYER	DISEASE	GOD	WRITER	BACON_035	E2	1573.0	COPY	FAMILY_OTHER	ANNE_BACON[N.GRESHAM]	FEMALE	DAUGHTER	_	_	ANNE_GRESHAM[N.FERNELEY]	FEMALE	MOTHER	_	_	BACON	1570	35.0	GOD
338	86696	god	SHILLIN_006	SHILLIN_006.373_373	and grete and longe communicacion that is like to be . Wherfor y pray yow to prefixe place day and tyme as ye woll resonabilly , and that as sone as ye may godely , the rather the levere , and ye shall be all redy and wyth alle <P_25> thoo that longeth to be there , for oure party un failled ; so that noo cause of tarying $shall $be {TEXT:shallbe} founde yn oure party with the grace of	God	: praying yow the same , &c . for ye may fully conceve +tt my felows and y wold fayne have a gode ende and pees , prayng you to applie yo=r= god will and favo=r= to the same . And how hit may please you to do in +t=s= , y pray you to $sende hit me yn writyng and alle shall be well w=t= +t=e= grace of God , whiche have yow yn kepyng . Amen .	BODY	DIVINE APPROVAL	TRAVEL	0	0	SHILLIN_006	M4	1447.0	AUTOGRAPH	OTHER	JOHN_SHILLINGFORD	MALE	_	_	_	NAME_UNKNOWN_1	MALE	_	_	_	SHILLIN	1440	6.0	GOD
525	537	god	BACON_108	BACON_108.393_393	my good Lorde as to helpe me with some parte of the monye in your honnor 's handes , youe shall do so charitable a ded as youe never dyd any greater in your lyffe . handes I shall leave it {ED:at_DELETED} to the order of youe and Momford for my poore wiffe and children . One Mondaye next is the longest daye that by Gode 's grace I mynde to tarye in Inglonde . But yet ones agayne ,	god	my Lord , for Gode 's cawse let not my father-in-lawe have the orderinge of the monye for then my poore wiffe & children are utterly undone . Thus besechinge God long to contynewe youe in prosperous estate , I most humbly take my leave . Your honnor 's poore servaunte Edmond Banyerd . Banyerd . Nycholas Bacone , knyght , Lord Keper . 	BODY	PRAYER	SOCIAL	OH DIRECT	WRITER AND OH	BACON_108	E2	1574.0	AUTOGRAPH	OTHER	EDMUND_BANYARD	MALE	_	_	_	NICHOLAS_BACON_I	MALE	_	1510	64	BACON	1570	108.0	GOD
539	35464	lord	ORIGIN1_004	ORIGIN1_004.430_430	; which for my truth , faith , and allegiance that I owe unto the King , and the good will and favour that I have to all the Realm , laboureth continually about the Kings Highness for my undoing , and to corrupt my blood , and to disherit me and my heirs , and such persons as be about me , without any desert or cause done or attempted on my part or theirs , I make our	Lord	Judge . Wherefore , worshipful Friends , to the intent that every man shall know my purpose , and desire for to declare me such as I am , I signify unto you that with the help and supportation of Almighty God , and of our Lady , and of all the Company of Heaven , I , after long sufferance and delays , not my will or intent to displease my sovereign Lord , seeing that the said	BODY	RESIGNATION	POLITICS	0	0	ORIGIN1_004	M4	1452.0	AUTOGRAPH	OTHER	RICHARD_OF_YORK	MALE	_	1411	41	NAMES_UNKNOWN_14	MALE	_	_	_	ORIGIN1	1450	4.0	LORD
581	86707	god	SHILLIN_007	SHILLIN_007.261_261	to make a gode ende , and that all my feloship and y pray yow right hertly . And yn especyall that ye be oon of thoo pryncipall endifferently to entrete ther ynne that most gode may do ther yn , and with yow Radeforde and Hengston , and so that William Beef be oon with yow by your speciall meene to be brogh yn , for pleasur and the better to ende the mater hardly with the grace of	God	. Ye may constre moche thyng &c. bot this aboveseide thus don , y dowte noght , bot truste to God verily to have a gode ende and pees with the grace of God , whiche have yow ynh is kepyng . Amen . Writen at Excetre on Wendisdey yn the vigill of Seynt Thomas the Apostell . }	BODY	DIVINE APPROVAL	RELIGION	0	0	SHILLIN_007	M4	1447.0	AUTOGRAPH	OTHER	JOHN_SHILLINGFORD	MALE	_	_	_	DOWRISH	MALE	_	_	_	SHILLIN	1440	7.0	GOD
587	3175	lord	BACON_115	BACON.3574_3574	have not in all pointes to maynteyne our ordynarye table after the fasshion of the worlde , ys yt anye absurdytie ? Or ys any thinge objected to me herein but that which maye be incydent to any man lyving ? Or ys not this objection a manyfest distrusting of Gode 's providence ? For who giveth rytches and povertie , honor and ignomynie , but the Lorde . This objection therefore I aunswere thus : that I hoape the	Lorde	will so blisse us that we shall eate the fruites of our labours , and if we do not eate the fruites for the which we laboured not , we hope we $shall $be {TEXT:shalbe} neverthelesse content . There remayneth nowe in the laste place one thinge to be considered of , which semeth to me to be of no smalle weight . That is to saye that , if this knotte ( which is nowe as I have	BODY	PRAYER	RELIGION	GOD	WRITER AND ADDRESSEE	BACON	E2		AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	EDWARD_BACON	MALE	BROTHER	1548?	26?	NATHANIEL_BACON_I	MALE	BROTHER	1546?	28?	BACON	0		LORD
593	84839	god	PASTON_305	PASTON_305.175_175	as weele as I gowde , &c . I schall take no distresse there vnto the tyme that I haue answere from you wherther I shall do it or nought ; wherfore that it like you to sende worde wether that I shall distreyne or nought . Ferthermore as for other maters that it liked you to comaunde me to comoun wyth Ser Thomas , I haue don so and he seith j-nough , and largely <P_II,114> he trusteth to	God	to make suche a rekenyng of all maner thynges towchyng Ser John Fastolf that your maistreschipp nor he shall haue non hurte by it . He seithe as for any thyng that he hathe do wythoute your advice it schal no more be soo , &c . Plese you to remembre John Elger , Bockyng , and other for the reskuse weche whas made for Jankyn Porter . They speke to me for it for they feere hem sore	BODY	CONFIDENCE	TRADE	0	0	PASTON_305	M4	1455.0	AUTOGRAPH	FAMILY_SERVANT	RICHARD_CALLE	MALE	FAMILY_SERVANT/SON_IN_LAW	_	_	JOHN_PASTON_I	MALE	FATHER_IN_LAW	1421	34	PASTON	1450	306.0	GOD
657	86843	god	SHILLIN_012	SHILLIN_012.875_875	, &c. That nyght right late Harry <em> Brok </em> broght me a copy of a recorde whiche y sende to yow , to the whiche recorde with avys of conseill y thyng <em> $boldely to </em> appere forthwith this terme , &c . and y hope hit shall be right well as the cas stoondeth , and better than hit was desired and like to have be $at $te {TEXT:atte} last entrety at home , with the grace of	God	, whiche have you in his kepyng . Writen at London the morun after Candelmasse day . By John Shillingford , M' of Excetre . writte ayenst John Hulle , as <em> $here folowyth </em> . Cook , John Germyn , Walter Pope , Richard Druell , and other , this letter be delyvered , &c . _16_FEB.,_1447-8,}	BODY	DIVINE APPROVAL	TRAVEL	0	0	SHILLIN_012	M4	1448.0	AUTOGRAPH	OTHER	JOHN_SHILLINGFORD	MALE	_	_	_	NAMES_UNKNOWN_1	MALE	_	_	_	SHILLIN	1440	13.0	GOD
658	35465	almighty	ORIGIN1_004	ORIGIN1_004.471_471	and to corrupt my blood , and to disherit me and my heirs , and such persons as be about me , without any desert or cause done or attempted on my part or theirs , I make our Lord Judge . Wherefore , worshipful Friends , to the intent that every man shall know my purpose , and desire for to declare me such as I am , I signify unto you that with the help and supportation of	Almighty	God , and of our Lady , and of all the Company of Heaven , I , after long sufferance and delays , not my will or intent to displease my sovereign Lord , seeing that the said <P_13> Duke ever prevaileth and ruleth about the King 's person , that by this means the land is likely to be destroyed , am fully concluded to proceed in all haste against him , with the help of my kinsmen	BODY	DIVINE APPROVAL	POLITICS	0	0	ORIGIN1_004	M4	1452.0	AUTOGRAPH	OTHER	RICHARD_OF_YORK	MALE	_	1411	41	NAMES_UNKNOWN_14	MALE	_	_	_	ORIGIN1	1450	4.0	ALMIGHTY
703	8627	god	BACON_193	BACON.549_549	one hede , I rejoyse with you . It contentes me never adele that he whose father was advaynsed from most meane condyssion , chefly as I have hard for professyng the gospell , and whose sone for trust chefly reposed , if I be not deseved , is countenansed & trusted for that cause , shuld as you wryte refuse , synes it was in that maner sought , & he havyng so muche nede of it , as	God	helpe us all , beyng not contrary to ouer {ED:?} sefares lawe . But you know assueredly all that saye Lord , Loord shall not enter . Ouer Chryst be mersefull to hym & us all . I wold I had good nues for to imparte to you . I here that Mr Layton is gone in message to Done John or to other the The imbassaters of the states & Done John ar departed & some of them	BODY	PRAYER	RELIGION	OH DIRECT	WRITER AND OH	BACON	E2		AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	EDWARD_BACON	MALE	BROTHER	1548?	26?	NATHANIEL_BACON_I	MALE	BROTHER	1546?	28?	BACON	0		GOD
720	84833	god	PASTON_302	PASTON_302.182_182	well to no good entent to me ward . Wherfor , cosyn , I prey yow , as my truste is in yow , that ye geve me knowelege be writing what jentylmen they be that had this report , wyth more , and what mo jentylmen were present , as ye wold I shuld and were my deute` to do for yow in semblabyll wyse . And I shall kepe yowre informacyon in this matere secret , and wyth	Goddez	grace so purvey for hem as they shall not all be well pleasyd . At suche a tyme a man may knowe hese frendez and hese fooes asondre , &c . Jesu preserue and kepe yow . Wretyn at Castre the vij day of Feuerer A=o= xxxiij R. H. vj=ti= . John Fastolf , Knyght 	BODY	DIVINE APPROVAL	INTENTION	0	0	PASTON_302	M4	1455.0	COPY	OTHER	JOHN_FASTOLF	MALE	_	1378?	77?	JOHN_PASTON_I	MALE	_	1421	34	PASTON	1450	303.0	GOD
736	84846	god	PASTON_307	PASTON_307.182_182	Howard and Sere Roger Chambirlayn to be knyghtes of the shire , exorting alle suche othir as be youre wisdam shal mow be behovefull to the good exployte and conclusion of the same . And in your faithful attendaunce and trewe devoyre in this partie ye shal do vnto my lord and vs a singuler pleasir , and cause vs heraftir to thanke you therfore as ye shal holde you right weel content and agreid , with the grace of	God	, who haue you euere in his keping . Wreten in Framlyngham Castel the viij day of Jun . 	BODY	DIVINE APPROVAL	0	0	0	PASTON_307	M4	1455.0	COPY	OTHER	ELEANOR_MOWBRAY	FEMALE	_	_	_	JOHN_PASTON_I	MALE	_	1421	34	PASTON	1450	308.0	GOD
775	26192	god	CLERK_002	CLERK_002.396_396	- Therle of Wiltshir wasse made Tresorier of Inglond on Sonday laste paste . And vnder tresorier ys one Grymesby that wasse Clerk of the Jowell the which made grete attendaunce aboute the Kynge in his Siknes . As fore chaunge of any othir officeris ther ys none yet . And as fore the Janeis apon Tuysday they had ther counsell assigned vnto them . bothe Sergentts and prentises of corte and so moche to do wol be amongs them	god	spede the right . the lordis be wroth w=t= them as hit ys seide - As fore John Tyer by thauyse of Ingoldesby hit wasse thought better to be at hom than here . fore his lyenge here sholde but putte vs yn coste and none availe tille the siluer be redi . and x d. a day ys not a litel coste ye know welle / I can no more but I beseche god gyde vs yn alle	BODY	DIVINE APPROVAL	POLITICS	0	0	CLERK_002	M4	1458.0	UNKNOWN	OTHER	WALTER_CLERK	MALE	_	_	_	NAMES_UNKNOWN_18	MALE	_	_	_	CLERK	1450	2.0	GOD
783	12434	lord	BACON_281	BACON.126_126	some convenient leysure wryt an ernest letter to Sir Henry Nevell requestinge him to com the next sommer for as I thinke that will further the matter motche . I am hartely glade to here that there ys so greate hope of my sisters cominge to London the next terme for my brother Windome hathe promysed me yt shall be so . Yow wrot nothinge to me of my sister Woodhowshe who I hard was but I hope in the	Lorde	she ys recovered longe since . I thanke God bothe her sone and her dawghter be well . She sent her sone of late a bede with the furniture and a gowne , but never a letter so that we knowe not whether there was any thinge else sent with <P_II,237> yt or not . His tuter was of late with me who told me of the goune and semed to dislyke yt for the cost so that I	BODY	PRAYER	DISEASE	GOD	OH	BACON	E2		AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	EDWARD_BACON	MALE	BROTHER	1548?	26?	NATHANIEL_BACON_I	MALE	BROTHER	1546?	28?	BACON	0		LORD
828	14643	god	BACON_323	BACON.1045_1045	. I have fownd by a note that I did send you the inventory of the thinges leaft at Ingham . If you seake for it yow will fynd it . The Erle of Essex hath obteyned thre hundreth pownd by yere in fee farme . The Lady Throgmorton is dead . My Lord of Lecestre is said to be sent for . I thancke God wee be all well . Thus with harty commendacions to my sister I pray	God	to blesse you & yours . A great nombre have byn lately taken of Brownes opynion as they were at ther exercise by the shryve of London & committed by the Bisshop to pryson . From London the xxvi of Octobre .  Though I have no occasyon of wrytyng unto you at this tyme , yet happenyng upon 2 proclamations which shortely $will $be {TEXT:wilbe} proclaymed , the one concernyng them which remove from theyr dwellyng places nere	BODY	PRAYER	SOCIAL	GOD	ADDRESSEE	BACON	E2		AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	EDWARD_BACON	MALE	BROTHER	1548?	26?	NATHANIEL_BACON_I	MALE	BROTHER	1546?	28?	BACON	0		GOD
835	14972	lord	BACON_325	BACON.1491_1491	hitherto I cold not . His owne bodii is scarce well , besides <P_III,38> that the common bodii of the land is so trobled with the malice of the Pope , the forces of Spaiin , the untrustiinese of Scotland and the untowardnesse of the Low Countriis as theii sitt much in Counsell and can not heare other causes . I received late letters from mii Lord Wiilughbii {ED:signifing_DELETED} importing that he attendeth a present siege at Berghen . The	Lord	bless hiim and I praii you praii for him . This daii I heare that Sir Thomas Gorge goes from Hir Majestie to fech hoame mii Lord of Lecester presentlii . God knoweth what $will $be {TEXT:wilbe} thissue . In France yet things goe better : therfor God be blessed . The King of Navarre hath had a joiioase victorii against Duke Joiieuse wherein , for certein , the Duke was killed in the {ED:filld_DELETED} field . So was	BODY	PRAYER	WARFARE	GOD	OH	BACON	E2		AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	EDWARD_BACON	MALE	BROTHER	1548?	26?	NATHANIEL_BACON_I	MALE	BROTHER	1546?	28?	BACON	0		LORD
837	24368	god	CELY_045	CELY_045.445_445	. I wyll ye bye for me v or vj=c= of good Baras canvase at the marte , for I am avysyde for to by more woll . I haue marvele that ye send me no wrytyng be Randofe of syche maters as he com to London for . I fere me ys comyng ys for grete maters for the Plase , and here ys but strange warlede for to sve nou . The sekenese raynyd sore at London ,	God	sesyd wan ys wyll ys . At the wrytyng of thys letter we were all in good helle , I thanke God . Wryte at London the xiiij day of Jun in grete haste . per Rychard Cely  	BODY	RESIGNATION	EPIDEMICS	0	0	CELY_045	M4	1479.0	AUTOGRAPH	FAMILY_NUCLEAR	RICHARD_CELY_SR	MALE	FATHER	_	_	GEORGE_CELY	MALE	SON	_	_	CELY	1470	45.0	GOD
839	24721	god	CELY_103	CELY_103.249_249	, the wych mvst be sent ouyr into Ynglond , and ther payd at plesur . Your faders byll at plesur amontys vnto xv li. vj s. viij d. ster. , your broder Rychard xliiij s. ster. , and Wylliam Maryon byll iij li. x s. viij d. ster . Alsoy syr syn tyt ys soo as it ys of my mayster your fayder , in the reverens of God take it pacyenly and hvrte nott yoursell , for that	God	wyll haue done no mane may be gense . Alsoy syr all your ffellys here don weell , but +ge schall onderstond that we lacke <P_129> peltys , and here ys non / Thow that bene be at xx d. a dosseren . Alsoy syr syn yow departyd I haue bene wyth my broder William Dalton at Brugys , and ther I $bowght vj=c= peltys after iiij s. iiij d. a C and lytyll moor , the wych +ge	BODY	RESIGNATION	0	0	0	CELY_103	M4	1482.0	AUTOGRAPH	OTHER	JOHN_DALTON	MALE	_	_	_	GEORGE_CELY	MALE	_	_	_	CELY	1480	103.0	GOD
840	15207	lord	BACON_325	BACON.1868_1868	not have so soone an oportunitii to talke with hiim at leisure . Otherwise I praii you think I did not forslow to satisfii your desire in a matter touching you so neerelii in affection . I praii you lett mii wife & me be recommended verii hartilii to your self and to Mistres Bacon , and to Mistres Windham when you see hir . I thank hir hartilii for hir love and care of mii seduced sister . The	Lord	be mercifull to hir and reduce hir . I desire to heare som good of hir . So taking mii leave I leave you and yours to the holii grace of God in Christ who keep you {ED:you_INSERTED} ever his . London , Barbicon 7 November 1587 . he be in Norwich . Also to Mr Moore , whose letter I delivered to Mr Justice Windham . I praii you if Mr Haiset be with you at Norwich let	BODY	PRAYER	DISEASE	GOD	OH	BACON	E2		AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	EDWARD_BACON	MALE	BROTHER	1548?	26?	NATHANIEL_BACON_I	MALE	BROTHER	1546?	28?	BACON	0		LORD
846	25273	lord	CELY_138	CELY.3387_3387	, but sche ys yett alyue . And sche ffortune to dye I schall send yow wordd as schorttly as I can , etc . Furdermore , plese hytt yowre masterschyppys to vnderstond that I wrate yow a clawse yn the letter that Raff Lemyngton bryngyth yow , how that the $Lefftenaunte and the Fellyschypp here hath hadd commenycacyon wyth my Lord $Lefftenaut off Calles ffor the entercourse betwyxte Ynglond and Flaunders , and soo my Lordd ys owre goode	lordde	yn all matters . And soo oon Satterday the xxvj day off Marche the Fellyschypp here apoyntyd v persones off the Stappull to goo as ymbasett ffor the Stappell to Dewke Phyllypp and hys Councell off Flaunders , and thes men be poyntyd to goo : Thomas Amerys , Constabull , Robardd Addlyn , Wylliam Bentham , Wylliam Dalton , John Ynge ; and on Tewysday nexte they schall departe thederwarddys , and thay schall hawe power <P_208> off	BODY	RESIGNATION	WARFARE	0	0	CELY	M4	1482.0	AUTOGRAPH	FAMILY_NUCLEAR_CODE_METADATA	WILLIAM_CELY	MALE	FAMILY_SERVANT	_	_	GEORGE_CELY	MALE	_	_	_	CELY	1480		LORD
854	84842	god	PASTON_306	PASTON_306.182_182	retorn to be made as by your grete wysdom shall best be concydered . PASTON,II,_ID And assone as ye goodly may y may see yow . PASTON,II,_ID Both William Barker and Geffrey Spyrlyng ben now at Norwych , PASTON,II,_ID and one of hem yff nede bee shall wayte vppon yow . PASTON,II,_ID Y pray God have yow yn hys kepyng . PASTON,II,_ID Wreten at Castre xxviij day of Maij . PASTON,II,_ID Your cosyn John Fastolf PASTON,II,_ID And y trust to	God	as the woorld goth now the seyd atteynt shall do ryght weell wyth your gode help . PASTON,II,_ID	BODY	CONFIDENCE	X	0	0	PASTON_306	M4	1455.0	COPY	OTHER	JOHN_FASTOLF	MALE	_	1378?	77?	JOHN_PASTON_I	MALE	_	1421	34	PASTON	1450	306.0	GOD
